"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000134324",0.169135475596208,6.99454862920251,4.60178657698871,8.90182674172878e-06,0.00574081678131102,3.33791713754734,"LPIN1"
"ENSG00000075239",-0.193032662250287,5.88000930200758,-3.19008013389911,0.00173470074422332,0.0536844230317532,-1.45328713178757,"ACAT1"
"ENSG00000169710",0.268713757785694,7.76385017313844,2.51087621142192,0.0131114077041876,0.103238780158377,-3.20425108973106,"FASN"
"ENSG00000177666",0.220229868948579,3.6146497265976,2.1587669008426,0.0324708076278254,0.156059860155941,-3.86900295649109,"PNPLA2"
"ENSG00000198911",0.158193610679308,7.72863736420636,1.98286684867284,0.0492224992727765,0.192080042344131,-4.30867844988596,"SREBF2"
"ENSG00000064687",0.221347885381873,4.02421426471963,1.85614638698762,0.0654096260805047,0.223745127510333,-4.46991313837903,"ABCA7"
"ENSG00000165029",0.135557770835835,6.25692339125168,1.69170604417393,0.0927943800016812,0.267813663201041,-4.83371804434527,"ABCA1"
"ENSG00000185000",0.093229076594433,3.97552427275774,1.38683657610126,0.167564824855821,0.36946685546681,-5.18450123377041,"DGAT1"
"ENSG00000110090",0.133909231516705,5.46273703806657,1.30742646914945,0.193083677177664,0.400844119847961,-5.37521350972056,"CPT1A"
"ENSG00000072310",0.156777036499722,5.7086595204944,1.28521351146816,0.20071370025745,0.408988079165443,-5.40703523067099,"SREBF1"
"ENSG00000204310",0.123113585653094,3.5720036951731,1.19876765680702,0.232523174544984,0.444757300564803,-5.3702956357711,"AGPAT1"
"ENSG00000112972",-0.0501849540286274,6.62405483502755,-0.467048293228734,0.641148219459089,0.786611549765334,-6.09366687261811,"HMGCS1"
"ENSG00000278540",0.00750410199954477,7.84629284652915,0.162241462344294,0.871335728498087,0.932634322953944,-6.16197253337097,"ACACA"
"ENSG00000147872",-0.00329741936969219,3.44852238336419,-0.0287350575260176,0.977114384190482,0.989429974152928,-6.04011547997174,"PLIN2"
"ENSG00000119927",-0.00194434773668295,6.17237333677018,-0.0270946183406701,0.978420556391916,0.989921306409233,-6.20268364305067,"GPAM"
