"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B"
"ENSG00000229807",8.86518772548076,5.68417832675676,107.891233203374,0,0,657.958430514217
"ENSG00000270641",4.61126718151843,0.978650882918942,53.0383075228416,2.13517126433951e-201,2.08115143135172e-197,416.402847468167
"ENSG00000005889",0.664241574770676,6.73305791895256,29.4923551568369,2.64542789303212e-109,1.71899904489227e-105,235.488568497183
"ENSG00000147050",0.429152346326243,5.81572228195381,15.0365554604503,4.65249049432673e-42,2.26739124241013e-38,84.4666833011666
"ENSG00000215301",0.466548158171554,8.21099027047591,13.9510449189295,2.64573624500228e-37,1.03151964720149e-33,73.6911472272908
"ENSG00000270223",0.514173097605394,3.22910872036323,13.4936129199017,2.417684940246e-35,7.85505837085924e-32,68.9915663477741
"ENSG00000225470",0.430676006846616,4.74382550923207,12.0286766985994,2.87479650935086e-29,8.00589759332652e-26,55.5634421802502
"ENSG00000258484",-0.888877207111617,0.038287480419948,-11.9050657974652,9.02191510631457e-29,2.1984151635312e-25,53.174717989186
"ENSG00000255346",-1.00077940363705,0.626513071702711,-11.8494077434007,1.50682580288441e-28,3.26378468904763e-25,53.1112551179821
"ENSG00000126012",0.445351544849644,6.89195631395728,11.3403805222768,1.54579417649256e-26,3.0133711676546e-23,49.4317891568632
"ENSG00000130021",0.4772266343633,2.97946752085269,11.2743478701601,2.79553519136594e-26,4.95419663822615e-23,48.6351866006587
"ENSG00000205611",-1.13022878976914,1.05527406046433,-10.8414744678085,1.2941226952936e-24,2.10230231850446e-21,44.5352298882457
"ENSG00000130741",0.336392888554895,6.3992089535466,9.99643016376717,1.77925189222464e-21,2.66805664515594e-18,38.026061400715
"ENSG00000149531",-0.614172225818618,3.26109833140284,-9.23769378278706,8.49297044687601e-19,1.18258547065286e-15,31.9600051134104
"ENSG00000169895",0.250713965856349,5.88562688724865,8.70465193834802,5.31576839760252e-17,6.90837260952424e-14,27.9564324576936
"ENSG00000006757",0.338015125230486,3.63946288431948,8.61763601222724,1.02752120426171e-16,1.25190614724236e-13,27.3096738127237
"ENSG00000205664",0.270277935095157,2.39311379942464,8.44224602593229,3.82409679675405e-16,4.3851142915249e-13,25.9816120082459
"ENSG00000198034",0.285538300869288,7.58481914708871,7.68786598141804,8.70801597684115e-14,9.43078130291896e-11,20.7486061910222
"ENSG00000124486",0.233666846811875,8.45966791030375,7.51361643106666,2.89164521281847e-13,2.96682798835175e-10,19.5881262217044
"ENSG00000163749",-0.331872486227092,2.38950439513122,-7.40011114366863,6.24905722204937e-13,6.09095607433152e-10,18.8588358470633
"ENSG00000282826",-0.425814391914154,3.62258848429257,-7.08170513469457,5.17399445644463e-12,4.80294513971103e-09,16.8192434952291
"ENSG00000188153",0.453647103520763,6.62928125150706,7.05104388263084,6.31809368636676e-12,5.59840537827425e-09,16.5819090954342
"ENSG00000237438",-0.307934510041723,2.9140820455077,-6.89229470283726,1.7583797537502e-11,1.47343039792322e-08,15.6526060460892
"ENSG00000273203",-0.306667018024379,1.55665904736995,-6.88741933113496,1.81401095466078e-11,1.47343039792322e-08,15.6153829452657
"ENSG00000162654",0.530099672594292,3.58191293115307,6.70956138749767,5.58467984925977e-11,4.3547099592588e-08,14.5249017602812
"ENSG00000086712",0.149890762569495,4.97277840796615,6.57369875756159,1.29797461585962e-10,9.73181429291052e-08,13.6652736623207
"ENSG00000105974",0.414331792403725,3.6151605183677,6.46280902421208,2.55746437766711e-10,1.84648928067565e-07,13.0580629418074
"ENSG00000197992",0.55612675018836,0.47284521444485,6.37394856699903,4.37481957648159e-10,3.045811886569e-07,12.5282407161696
"ENSG00000112782",0.318135717032393,3.16471034242883,6.22920969920789,1.03560142199401e-09,6.96138417943145e-07,11.7313972353225
"ENSG00000102309",0.262318769939038,3.19108223520305,6.07221813789896,2.5899031545874e-09,1.68291906985089e-06,10.8551732437376
"ENSG00000180777",-0.340177653601011,3.56678016132971,-6.00534866486806,3.80499704470173e-09,2.39272943191663e-06,10.4580814772351
"ENSG00000154874",-0.45473552282914,4.94873759523392,-5.96129298814943,4.89335558053528e-09,2.98097105271734e-06,10.1564027825271
"ENSG00000130988",0.341576606135841,4.11548841955296,5.90989888687005,6.54986703162708e-09,3.86918508831934e-06,9.91132894332
"ENSG00000214652",0.251092557195725,3.46080246131941,5.88616074174739,7.48890245149277e-09,4.29378424674706e-06,9.82423885329856
"ENSG00000235162",0.267288968703954,2.00063737158458,5.80416630685906,1.1855816700697e-08,6.60335116466822e-06,9.44383111270491
"ENSG00000171612",0.231596047952,4.0685490601802,5.76745953533583,1.45381361411024e-08,7.87240072040697e-06,9.15325588693807
"ENSG00000160200",-0.607744205633615,1.03573602195452,-5.68143007616709,2.33510496656806e-08,1.23028476265615e-05,8.81242555729039
"ENSG00000205221",0.422659586380779,0.150850373769497,5.67345289287618,2.43927644434943e-08,1.25134881595126e-05,8.75985697139355
"ENSG00000173809",0.380282338280614,0.563954386638734,5.62744259688345,3.13444241797397e-08,1.56673898707653e-05,8.53487776501293
"ENSG00000016402",0.349087288807505,1.74378685498616,5.60070884991801,3.62327173967808e-08,1.76580148233211e-05,8.3893297535383
"ENSG00000249306",0.409292164007423,2.67140381896552,5.58351963847005,3.97594536213961e-08,1.89041655828169e-05,8.26493806475409
