"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_symbol"
"ENSG00000204310",-0.170476191962486,4.08420400705603,-3.43481736098117,0.000697749493123219,0.0158586223483882,-0.692678162705451,"AGPAT1"
"ENSG00000134324",0.144225405900694,6.47540531541857,3.14921713818298,0.00184329324334965,0.0262105801386854,-1.57977007026795,"LPIN1"
"ENSG00000119927",0.272510657294423,4.66673807904348,2.87340451272189,0.00442220416584543,0.0416309814742951,-2.36056011716506,"GPAM"
"ENSG00000112972",-0.265976254806499,4.80609645252414,-2.32988225977165,0.0206370218226109,0.096548734225486,-3.70138376599029,"HMGCS1"
"ENSG00000198911",-0.10197056816307,7.78907690773047,-2.20222079510863,0.0285950175414335,0.115106750351878,-3.91027777906214,"SREBF2"
"ENSG00000072310",0.161920699172317,6.30492766488094,2.08616128069768,0.0380132157505994,0.136157885445923,-4.20624468044485,"SREBF1"
"ENSG00000064687",0.135555067210023,5.33020010767302,2.0376555814875,0.0426740723885439,0.145778752718853,-4.31746321360391,"ABCA7"
"ENSG00000165029",0.167731431237661,3.52121113352684,1.89614101726631,0.0591345722396248,0.176974583237387,-4.48727859092338,"ABCA1"
"ENSG00000110090",0.132433500089996,6.16312456918088,1.7623361012411,0.0792770302098418,0.211029257344422,-4.80572630332511,"CPT1A"
"ENSG00000147872",0.154756319108903,3.49327398881738,1.44745406447371,0.149066127474747,0.313533784968565,-5.20559490984141,"PLIN2"
"ENSG00000185000",0.0507375089230289,5.09026582386308,1.31288850605755,0.190466210445157,0.365517725888762,-5.48154464210103,"DGAT1"
"ENSG00000278540",-0.0599843361726053,6.00908014452064,-1.21437370139834,0.225790689423528,0.408337699726529,-5.5932977195251,"ACACA"
"ENSG00000169710",-0.0748691031262956,7.5323426040761,-0.97514166141727,0.3304653508046,0.518543505171949,-5.78501558770727,"FASN"
"ENSG00000075239",-0.0194443930709696,5.11122649298792,-0.566039592489792,0.571892240648939,0.726602294525008,-6.16080695183438,"ACAT1"
"ENSG00000177666",-0.0137394761668936,5.2739602521068,-0.256496445428393,0.797785806578442,0.882799036371257,-6.28611638214895,"PNPLA2"
